Line No.,Cost Center Description,Expense Before Reclassi-fication,Direct Expense,Expense After Stepdown(Excl Cap),Expense After Stepdown(Incl Cap),Patient Service Expense By Dept(Excl Cap),Patient Service Expense By Dept(Incl Cap),Gross Revenue by Department,Patient Expense by Service(Excl Cap),Patient Expense by Service(Incl Cap),Gross Revenue by Service,Non-Physician FTE,Physician FTE,Number of Units,Unit of measure
1,Buildings / Fixed Depreciation,"18,63,062","18,63,062",1,,,,1,,,,,,1,
2,Capital Leases / Amortization,2,,,,,,2,,,,,,2,
3,Interest - Long Term,"3,30,957",3,,,,,3,,,,,,3,
4,Bond Issue Amortization,"5,448","5,448",4,,,,4,,,,,,4,
5,Subtotal (Lines 1-4),"21,99,467","18,68,510",5,,,,5,,,,,,5,
6,Fringe Benefits,"1,17,96,694","1,55,15,129",6,,,,6,,,,,,6,
7,Administration,"99,55,784","73,88,576",7,,,,57.95,1.23,7,,,,7,
8,Purchasing,"10,65,225","10,33,975",8,,,,9.31,8,,,,,8,
9,General Accounting,"20,32,305","19,72,388",9,,,,10.84,9,,,,,9,
10,Patient Accts / Inpatient Admit,"9,20,858","8,78,467",10,,,,13.39,10,,,,,10,
11,Insurance - Prof Malpractice,11,,,,,,11,,,,,,11,
12,Insurance - Hosp Malpractice,"3,09,515",12,,,,,12,,,,,,12,
13,Insurance - Other,"6,24,211","3,14,696",13,,,,13,,,,,,13,
14,Interest - Short Term,14,,,,,,14,,,,,,14,
15,Subtotal (Lines 7-14),"1,45,98,383","1,18,97,617",15,,,,15,,,,,,15,
16,Plant Maintenance / Repairs,"10,32,523","9,94,201",16,,,,8.72,16,,,,,16,
17,Plant Operations,"16,90,734","16,79,944",17,,,,2,17,,,,,17,
18,Security,"4,94,544","4,71,221",18,,,,8.83,18,,,,,18,
19,Parking,19,,,,,,19,,,,,,19,
20,Licenses and Taxes,20,,,,,,20,,,,,,20,
21,Subtotal (Lines 17-20),"21,85,278","21,51,165",21,,,,21,,,,,,21,
22,Laundry and Linen,"5,70,305","5,67,559",22,,,,1.51,22,,,,,22,
23,Housekeeping,"14,55,197","13,38,478",23,,,,34.08,23,,,,,23,
24,Cafeteria,"14,22,005",24,,,,,24,,,,,,24,
25,Dietary Services,"22,69,569","1,36,977",25,,,,28.59,25,,,,,25,
26,Maintenance of Personnel,26,,,,,,26,,,,,,26,
27,Nursing Administration,"7,33,164","6,85,764",27,,,,6.24,27,,,,,27,
28,Inservice Education - Nursing,"5,12,285","4,82,316",28,,,,4.09,28,,,,,28,
29,Subtotal (Lines 27-28),"12,45,449","11,68,080",29,,,,29,,,,,,29,
30,Nursing Float,30,,,,,,0.46,30,,,,,30,
31,RN / LPN Education,31,,,,,,31,,,,,,31,
32,Medical Staff - Teaching,32,,,,,,32,,,,,,32,
33,Medical Staff - Administration,33,,,,,,33,,,,,,33,
34,Subtotal (Lines 32-33),34,,,,,,34,,,,,,34,
35,Post Graduate Medical Education,35,,,,,,35,,,,,,35,
36,Central Services & Supplies,"5,16,471","68,10,740",36,,,,6.44,36,,,,,36,
37,Pharmacy,"72,94,018","73,43,412",37,,,,13.41,37,,,,,37,
38,Medical Records,"19,17,746","18,03,226",38,,,,25.77,38,,,,,38,
39,Medical Care Review,"7,56,805","7,17,563",39,,,,5.77,39,,,,,39,
40,Social Services,"15,19,013","14,47,104",40,,,,11.24,40,,,,,40,
41,Central Patient Transport,"2,90,211",41,,,,,6.96,41,,,,,41,
42,Other Overhead (Specify),42,,,,,,42,,,,,,42,
43,Subtotal Overhead,"4,96,47,129","5,51,81,766",43,,,,255.6,1.23,43,,,,43,
44,Surgery,"68,30,944","26,80,366","43,46,730","44,66,327","43,46,730","44,66,327","1,01,85,972",22.28,44,,,,"3,92,610",Surgery
45,Labor & Delivery,"12,88,861","12,88,861","22,30,989","22,63,765","22,30,989","22,63,765","17,51,902",45,,,,,662,Procs
46,Recovery Room,"26,33,707","23,00,541","41,99,920","42,67,776","41,99,920","42,67,776","53,55,080",21.74,46,,,,"7,745",Rec
47,Anesthesiology,"7,53,091","5,57,551","7,82,392","7,83,382","7,82,392","7,83,382","20,21,989",5.5,47,,,,"8,311",AnesthesiaMinutes
48,Intravenous Therapy,"3,70,121","3,70,121","3,70,121","3,70,121","3,70,121",48,"62,589",48,,,,,"4,560",IV
49,Medical Supplies - Special,"44,81,312","45,05,110","44,81,312","45,05,110",49,,"1,46,60,766",49,,,,,"84,453",Costed
50,Drugs - Special,"78,95,318","79,19,370","78,95,318","79,19,370",50,,"2,11,08,297",50,,,,,"61,98,044",Costed
51,Laboratory,"62,10,605","60,00,674","79,35,894","80,04,052","79,35,894","80,04,052","3,34,79,774",45.76,0.8,51,,,"6,98,082",Cap
52,Blood,52,,,,,,52,,,,,,,
52,Blood Cap Units,,,,,,,,,,,,,52,
53,Blood Processing / Storage,53,,,,,,53,,,,,,,
53,Blood Processing / Storage Cap Units,,,,,,,,,,,,,53,
54,Electrocardiology (EKG),"9,01,923","8,27,803","14,22,749","14,46,388","14,22,749","14,46,388","30,53,354",9.69,0.04,54,,,"19,183",Cap
55,Cardiac Cath Laboratory,"14,16,308","9,96,481","17,19,676","17,24,219","17,19,676","17,24,219","25,77,136",3.12,0.12,55,,,"6,701",Procedures
56,Diagnostic Radiology,"41,16,897","38,73,049","62,47,465","64,04,231","62,47,465","64,04,231","2,58,80,543",39.56,56,,,,"76,708",RVU
57,Therapeutic Radiology,57,,,,,,57,,,,,,,
57,Therapeutic Radiology RVU,,,,,,,,,,,,,57,
58,Computerized Tomography,"8,93,913","8,38,919","11,27,387","11,33,449","11,27,387","11,33,449","1,25,10,963",4.9,58,,,,"16,509",Patients
59,Nuclear Medicine,"5,83,022","5,56,373","7,75,731","7,91,836","7,75,731","7,91,836","40,09,564",3.16,59,,,,"4,412",RVU
