Line No.,Cost Center Description,number,of,inpatient,days,for,the,twelve
1,Medical & Surgical Acute,68,68,63,"22,995","16,460",66.32,1
2,Pediatric Acute,3,3,8,"2,920",108,9.86,2
3,Obstetric Acute,12,12,12,"4,380","1,952",44.57,3
4,Psychiatric Acute,20,20,20,"7,300","5,977",81.88,4
5,Ventilator Unit,5,,,,,,
6,Skilled Nursing Facilities,6,,,,,,
7,Pediatric Psych,12,12,12,"4,380","3,726",85.07,7
8,Other Acute (Specify),8,,,,,,
9,Other Acute (Specify),9,,,,,,
10,Subtotal (Lines 1-9),115,115,115,"41,975","28,223",67.24,10
11,Med/Surg Intensive Care,8,8,8,"2,920","1,893",64.83,11
12,Coronary Intensive Care,12,,,,,,
13,Neonatal Intensive Care,13,,,,,,
14,Other ICU (Specify),14,,,,,,
15,Other ICU (Specify),15,,,,,,
16,Other ICU (Specify),16,,,,,,
17,Other ICU (Specify),17,,,,,,
18,Other ICU (Specify),18,,,,,,
19,Subtotal (Lines 11-18),8,8,8,"2,920","1,893",64.83,19
20,Newborn Nursery,11,11,11,"4,015","1,572",39.15,20
20.01,Special Care Nursery,6,6,6,"2,190",429,19.59,20.01
21,Chronic / Rehabilitation,21,,,,,,
22,Subtotal (Lines 10+19+20+21),140,140,140,"51,100","32,117",62.85,22
1,Medical & Surgical Acute,45.10,"5,496","5,130","5,982","4,660",3.53,1
2,Pediatric Acute,0.30,17,40,3,51,2.12,2
3,Obstetric Acute,5.35,670,159,136,690,2.83,3
4,Psychiatric Acute,16.38,396,517,4,906,6.60,4
5,Ventilator Unit,5,,,,,,
6,Skilled Nursing Facilities,6,,,,,,
7,Pediatric Psych,10.21,347,44,388,9.60,7,
8,Other Acute (Specify),8,,,,,,
9,Other Acute (Specify),9,,,,,,
10,Subtotal (Lines 1-9),77.32,"6,926","5,890","6,125","6,695",4.22,10
11,Med/Surg Intensive Care,5.19,31,701,468,259,2.60,11
12,Coronary Intensive Care,12,,,,,,
13,Neonatal Intensive Care,13,,,,,,
14,Other ICU (Specify),14,,,,,,
15,Other ICU (Specify),15,,,,,,
16,Other ICU (Specify),16,,,,,,
17,Other ICU (Specify),17,,,,,,
18,Other ICU (Specify),18,,,,,,
19,Subtotal (Lines 11-18),5.19,31,701,468,259,2.60,19
20,Newborn Nursery,4.31,650,26,56,618,2.54,20
20.01,Special Care Nursery,1.18,36,56,24,66,6.50,20.01
21,Chronic / Rehabilitation,21,,,,,,
22,Subtotal (Lines 10+19+20+21),87.99,"7,643","6,673","6,673","7,638",4.20,22
23,Number of Medical Admissions,"6,853",,,,,,
24,Number of Surgical Admissions,790,,,,,,
25,Number of Deliveries,662,,,,,,
26,Number of Newborn Boarder Days,"2,001",,,,,,
