Line No.,Cost Center Description,10/01/2012,TO,09/30/2013,State,of,Massachusetts,-
1,Medical & Surgical Acute,"16,460","1,697","10,304",352,485,39,1
2,Pediatric Acute,108,11,13,2,,,
3,Obstetric Acute,"1,952",21,296,229,3,,
4,Psychiatric Acute,"5,977",66,"1,956","1,732",83,4,
5,Ventilator Unit,5,,,,,,
6,Skilled Nursing Facilities,6,,,,,,
7,Pediatric Psych,"3,726","1,321",27,7,,,
8,Other Acute (Specify),8,,,,,,
9,Other Acute (Specify),9,,,,,,
10,Subtotal (Lines 1-9),"28,223","1,763","12,281","3,712",837,39,10
11,Med/Surg Intensive Care,"1,893",179,"1,241",39,64,1,11
12,Coronary Intensive Care,12,,,,,,
13,Neonatal Intensive Care,13,,,,,,
14,Other ICU (Specify),14,,,,,,
15,Other ICU (Specify),15,,,,,,
16,Other ICU (Specify),16,,,,,,
17,Other ICU (Specify),17,,,,,,
18,Other ICU (Specify),18,,,,,,
19,Subtotal (Lines 11-18),"1,893",179,"1,241",39,64,1,19
20,Newborn Nursery,"1,572",226,205,20,,,
20.01,Special Care Nursery,429,68,128,20.01,,,
21,Chronic / Rehabilitation,21,,,,,,
22,Total Patient Days (L10+L19),"32,117","1,942","13,522","4,045","1,234",40,22
23,Admin necessary Days,5,5,23,,,,
24,Admissions,"7,643",442,"3,160",632,344,11,24
25,Discharges,"7,638",441,"3,168",633,346,11,25
26,Emergency Services,"31,627","1,188","8,421","2,342","2,484",724,26
27,Clinic / Ambulatory Services,"14,734",658,"4,467",314,453,819,27
27.01,Clinic / Ambulatory Svcs (Speci,"14,734",658,"4,467",314,453,819,27.01
28,Satellite Clinic Services,28,,,,,,
29,Ambulatory Surgical Services,"6,467",330,"2,363",271,166,6,29
30,Ambulatory Renal Dialysis,30,,,,,,
31,Home Dialysis Services,31,,,,,,
32,Psychiatry,137,23,32,,,,
33,Home Health Services,33,,,,,,
34,Observation Beds,"2,351",198,"1,063",73,111,9,34
35,Private Referrals,35,,,,,,
36,Hospital Licensed Health Center,36,,,,,,
37,Other Ambulatory (Specify),37,,,,,,
38,Other Ambulatory (Specify),38,,,,,,
39,Total Outpatient (Lines 26-38,"55,316","2,374","16,314","3,023","3,214","1,558",39
40,Inpatient Routine,"33,095,343","2,076,114","14,777,252","3,987,330","1,187,044","27,098",40
41,Inpatient Ancillary,"44,529,260","3,664,756","23,476,171","1,952,379","1,655,189","178,884",41
42,Outpatient Routine,"42,944,424","2,394,348","15,122,356","2,292,791","2,437,620","610,143",42
43,Outpatient Ancillary,"104,985,940","4,888,140","32,461,406","4,558,614","4,359,096","1,244,407",43
44,Total Gross Patient Svc Reven,"225,554,967","13,023,358","85,837,185","12,791,114","9,638,949","2,060,532",44
