Line No.,Cost Center Description,10/01/2012,TO,09/30/2013,State,of,Massachusetts
1,Medical & Surgical Acute,219,79,"2,249",602,303,1
2,Pediatric Acute,3,2,70,9,2,
3,Obstetric Acute,4,87,"1,040",223,50,3
4,Psychiatric Acute,254,161,907,312,136,4
5,Ventilator Unit,5,,,,,
6,Skilled Nursing Facilities,6,,,,,
7,Pediatric Psych,164,"1,726",481,7,,
8,Other Acute (Specify),8,,,,,
9,Other Acute (Specify),9,,,,,
10,Subtotal (Lines 1-9),480,493,"5,992","1,627",489,10
11,Med/Surg Intensive Care,20,11,211,66,37,11
12,Coronary Intensive Care,12,,,,,
13,Neonatal Intensive Care,13,,,,,
14,Other ICU (Specify),14,,,,,
15,Other ICU (Specify),15,,,,,
16,Other ICU (Specify),16,,,,,
17,Other ICU (Specify),17,,,,,
18,Other ICU (Specify),18,,,,,
19,Subtotal (Lines 11-18),20,11,211,66,37,19
20,Newborn Nursery,6,77,840,183,35,20
20.01,Special Care Nursery,49,140,37,7,20.01,
21,Chronic / Rehabilitation,21,,,,,
22,Total Patient Days (L10+L19),506,630,"7,183","1,913",568,22
23,Admin necessary Days,23,,,,,
24,Admissions,144,120,"2,075",480,119,24
25,Discharges,142,119,"2,067",476,118,25
26,Emergency Services,"1,914",539,"9,830","2,724",973,26
27,Clinic / Ambulatory Services,"4,127",36,"2,895",631,313,27
27.01,Clinic / Ambulatory Svcs (Speci,"4,127",36,"2,895",631,313,27.01
28,Satellite Clinic Services,28,,,,,
29,Ambulatory Surgical Services,15,21,"2,641",463,167,29
30,Ambulatory Renal Dialysis,30,,,,,
31,Home Dialysis Services,31,,,,,
32,Psychiatry,7,65,28,14,32,
33,Home Health Services,33,,,,,
34,Observation Beds,30,12,670,119,50,34
35,Private Referrals,35,,,,,
36,Hospital Licensed Health Center,36,,,,,
37,Other Ambulatory (Specify),37,,,,,
38,Other Ambulatory (Specify),38,,,,,
39,Total Outpatient (Lines 26-38,"6,093",608,"16,101","3,965","1,517",39
40,Inpatient Routine,"500,852","612,615","6,927,856","1,885,812","567,930",40
41,Inpatient Ancillary,"617,593","405,042","9,055,594","2,248,603","895,641",41
42,Outpatient Routine,"1,551,031","417,679","12,758,526","3,571,648","1,328,239",42
43,Outpatient Ancillary,"1,252,184","756,063","42,810,631","9,006,293","3,265,039",43
44,Total Gross Patient Svc Reven,"3,921,660","2,191,399","71,552,607","16,712,356","6,056,849",44
45,Contr Adj & Provision for Bad D,"457,961","1,306,089","36,783,513","6,779,409","4,251,665",45
46,GL Pat,46,,,,,
47,Employee,47,,,,,
48,Courtesy,"297,544",48,,,,
49,Other Free Care,"25,944",49,,,,
50,Total Free Care,"323,488",50,,,,
51,Total Deductions,"781,449","1,306,089","36,783,513","6,779,409","4,251,665",51
52,Gross Receipts From HSN,52,,,,,
52.01,Total Net Patient Svc Revenue,"3,140,211","885,310","34,769,094","9,932,947","1,805,184",52.01
52.02,Total Premium Revenue,52.02,,,,,
53,Provision for Bad Debts,"150,161","57,826","1,888,094","440,997","159,825",53
54,Bad Debt Write-Off,"5,329,477",54,,,,
55,Inpatient Routine,"500,852","612,615","6,927,856","1,885,812","567,930",55
56,Inpatient Ancillary,"617,593","405,042","9,055,594","2,248,603","895,641",56
57,Total Inpatient Svc Revenue,"1,118,445","1,017,657","15,983,450","4,134,415","1,463,571",57
58,Contr Adj & Provision for Bad D,58,,,,,
59,General Ledger Patient,59,,,,,
60,Employee,60,,,,,
61,Courtesy,61,,,,,
62,Other Free Care,62,,,,,
63,Total Free Care,63,,,,,
64,Total Deductions,64,,,,,
65,Gross Receipts From HSN,65,,,,,
65.01,Net Inpatient Svc Revenue,65.01,,,,,
65.02,Inpatient Premium Revenue,65.02,,,,,
66,Provision for Bad Debts,66,,,,,
67,Bad Debt Write-Off,"617,308",67,,,,
68,Outpatient Routine,"1,551,031","417,679","12,758,526","3,571,648","1,328,239",68
69,Outpatient Ancillary,"1,252,184","756,063","42,810,631","9,006,293","3,265,039",69
70,Total Outpatient Svc Revenue,"2,803,215","1,173,742","55,569,157","12,577,941","4,593,278",70
71,Contr Adj & Provision for Bad D,71,,,,,
72,GL Pat,72,,,,,
73,Employee,73,,,,,
74,Courtesy,74,,,,,
75,Other Free Care,75,,,,,
76,Total Free Care,76,,,,,
77,Total Deductions,77,,,,,
78,Gross Receipts From HSN,78,,,,,
78.01,Net Outpatient Svc Revenue,78.01,,,,,
78.02,Outpatient Premium Revenue,78.02,,,,,
79,Provision for Bad Debts,79,,,,,
80,Bad Debt Write-Off,"4,712,169",80,,,,
