Line No.,Cost Center Description,10/01/2012,TO,09/30/2013,State,of,Massachusetts,-,10/01/2012,TO,09/30/2013,State,of,Massachusetts,10/01/2012,TO,09/30/2013,State,of,10/01/2012,TO,09/30/2013,State,of,Massachusetts,10/01/2012,TO,09/30/2013,State,of,10/01/2012,TO,09/30/2013,State,of,10/01/2012
2,,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Medical & Surgical Acute,"53,555,714","16,552,039","37,003,675","2,522,495","65,657","711,969",1,"405,186","4,944","5,292,786","4,190,350","6,194,553",1,"1,298,767","498,653","5,323,449","3,659,048",1,"1,558,775","4,295,440","19,592","112,968","849,043",1,1,,,,,1,,,,,1
2,Pediatric Acute,"375,072","140,000","235,072","35,510","6,829",2,,"4,991","74,594","25,778","20,442",2,,337,"16,281","21,001",2,,676,"27,866",767,2,,,2,,,,,2,,,,,2
3,Obstetric Acute,"3,860,548","2,011,578","1,848,970","37,056","858,293","11,936",3,"5,205","22,101","329,733","291,153","228,444",3,801,"23,336","2,359",3,,"38,006",547,3,,,,3,,,,,3,,,,,3
4,Psychiatric Acute,"7,604,966","6,075,110","1,529,856","1,600","1,507",4,,"12,324","13,513","494,134","792,259",4,,"35,989","85,318","58,571",4,,"2,795","21,258","8,075","2,513",4,,4,,,,,4,,,,,4
5,Ventilator Unit,5,,,,,,,5,,,,,,5,,,,,5,,,,,,5,,,,,5,,,,,5
6,Skilled Nursing Facilities,6,,,,,,,6,,,,,,6,,,,,6,,,,,,6,,,,,6,,,,,6
7,Pediatric Psych,"4,062,172","3,727,000","335,172",7,,,,731,"129,057","196,672",7,,,"6,277","1,822",7,,,162,451,7,,,,7,,,,,7,,,,,7
8,Other Acute (Specify),8,,,,,,,8,,,,,,8,,,,,8,,,,,,8,,,,,8,,,,,8
9,Other Acute (Specify),9,,,,,,,9,,,,,,9,,,,,9,,,,,,9,,,,,9,,,,,9
10,Subtotal (Lines 1-9),"69,458,472","28,505,727","40,952,745","2,596,661","923,950","732,241",10,"427,706","27,045","5,711,357","5,130,472","7,432,370",10,"1,342,171","498,653","5,450,206","3,740,979",10,"1,562,246","4,382,732","19,592","121,494","852,870",10,10,,,,,10,,,,,10
11,Med/Surg Intensive Care,"6,269,420","3,402,912","2,866,508","271,353","1,541","50,714",11,"27,201","458,648","527,236","636,433",11,,"227,121","15,116","214,632","194,157",11,"40,416","158,797","10,795","32,348",11,,11,,,,,11,,,,,11
12,Coronary Intensive Care,12,,,,,,,12,,,,,,12,,,,,12,,,,,,12,,,,,12,,,,,12
13,Neonatal Intensive Care,13,,,,,,,13,,,,,,13,,,,,13,,,,,,13,,,,,13,,,,,13
14,Other ICU (Specify),14,,,,,,,14,,,,,,14,,,,,14,,,,,,14,,,,,14,,,,,14
15,Other ICU (Specify),15,,,,,,,15,,,,,,15,,,,,15,,,,,,15,,,,,15,,,,,15
16,Other ICU (Specify),16,,,,,,,16,,,,,,16,,,,,16,,,,,,16,,,,,16,,,,,16
17,Other ICU (Specify),17,,,,,,,17,,,,,,17,,,,,17,,,,,,17,,,,,17,,,,,17
18,Other ICU (Specify),18,,,,,,,18,,,,,,18,,,,,18,,,,,,18,,,,,18,,,,,18
19,Subtotal (Lines 11-18),"6,269,420","3,402,912","2,866,508","271,353","1,541","50,714",19,"27,201","458,648","527,236","636,433",19,,"227,121","15,116","214,632","194,157",19,"40,416","158,797","10,795","32,348",19,,19,,,,,19,,,,,19
20,Newborn Nursery,"1,216,488","757,704","458,784","458,784",20,,,20,,,,,,20,,,,,20,,,,,,20,,,,,20,,,,,20
20.01,Special Care Nursery,"680,223","429,000","251,223",20.01,,,,108,"31,092","43,248","163,407",20.01,,456,"5,645",20.01,,,"6,550",717,20.01,,,,20.01,,,,,20.01,,,,,20.01
21,Chronic / Rehabilitation,21,,,,,,,21,,,,,,21,,,,,21,,,,,,21,,,,,21,,,,,21
22,Subtotal (Lines 10+19+20+21),"77,624,603","33,095,343","44,529,260","2,868,014","1,384,275","782,955",22,"454,907","27,153","6,201,097","5,700,956","8,232,210",22,"1,569,748","513,769","5,670,483","3,935,136",22,"1,602,662","4,548,079","19,592","132,289","885,935",22,22,,,,,22,,,,,22
